Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Clicked on Ad
59.99,47,32040.28,239.82,0
64.72,44,66259.82,216.13,0
77.08,28,39518.47,176.12,0
87.01,41,42897.23,216.64,1
76.53,40,57281.28,169.96,1
48.36,38,44987.94,282.26,1
60.84,30,80033.89,175.49,1
71.35,22,66565.06,175.68,0
60.76,50,45057.61,148.91,0
81.14,37,61439.74,240.48,1
56.79,29,67278.08,159.52,1
49.38,28,67277.54,240.23,0
74.37,32,53175.29,259.31,0
79.99,31,35304.99,274.97,0
60.61,46,42415.5,177.62,0
64.99,25,38727.69,236.86,0
52.07,19,59924.76,273.32,0
69.48,41,51050.83,96.91,1
78.06,30,70460.75,159.3,0
59.48,30,78534.92,154.3,1
56.27,34,78449.2,199.94,1
77.5,45,76568.63,167.46,0
65.9,34,75151.08,236.84,0
73.23,48,44484.48,230.24,0
68.24,36,65427.06,180.81,0
55.85,54,35701.32,279.06,0
73.56,32,66573.96,156.94,1
58.17,35,81061.89,209.5,1
57.9,61,30142.55,201.07,0
59.76,28,53093.94,149.34,0
46.65,19,92775.38,223.78,0
68.59,41,83230.61,85.45,0
67.53,35,69952.06,91.0,0
59.72,31,61429.64,177.63,1
60.52,25,51450.09,200.67,0
49.54,33,34762.73,193.79,1
62.56,38,57070.45,202.98,1
38.9,49,48115.48,250.69,1
76.7,47,41188.82,241.72,0
35.15,43,67991.84,150.63,1
68.01,27,40540.87,209.01,0
52.05,58,50402.21,216.51,0
67.19,33,58847.57,278.69,0
86.87,28,47730.54,234.58,0
84.59,32,62194.33,153.49,0
89.7,32,77439.27,185.75,1
66.97,18,34326.26,147.63,0
91.42,50,71768.66,209.07,1
64.37,42,81097.63,167.11,1
64.71,39,67042.58,190.26,1
34.24,43,90111.43,143.03,1
38.14,40,57843.49,239.14,1
79.01,23,87723.67,268.46,0
48.15,37,61125.79,230.67,1
59.2,40,63600.02,173.31,1
81.83,18,67880.98,235.31,0
57.73,40,52504.23,106.5,1
71.05,39,65722.79,276.28,0
48.6,34,79615.18,161.26,1
75.78,30,55217.26,266.63,1
62.05,60,77920.16,208.99,1
48.8,39,68033.42,218.58,0
31.35,39,89605.04,228.65,0
83.34,28,51654.23,180.18,1
81.52,25,41936.93,172.52,1
68.47,34,75148.23,183.97,0
68.36,40,58020.79,244.72,0
54.53,27,73931.97,159.04,0
84.82,20,58938.3,235.11,1
73.89,26,97257.42,270.7,0
68.91,58,69696.72,280.52,1
40.53,53,66549.35,213.37,0
74.55,29,69606.91,279.36,0
78.2,28,55854.39,193.22,0
110.3,40,62946.95,250.79,0
77.51,50,71540.25,194.7,0
56.8,45,70577.68,252.96,1
68.35,38,37978.13,201.46,0
69.24,30,79953.44,185.78,1
73.56,35,70329.28,196.46,0
72.34,41,61358.81,92.34,1
62.79,31,57254.4,192.3,1
44.34,52,55421.25,272.25,1
81.52,36,88543.21,190.85,0
76.66,43,39503.63,209.27,1
49.61,47,65368.09,164.41,1
70.34,29,57973.43,252.99,0
62.42,29,74968.01,177.86,0
67.38,47,53108.68,253.51,0
74.99,37,73804.13,174.0,1
45.75,29,44730.39,199.24,1
48.57,21,71792.52,247.3,0
83.28,20,81195.69,148.87,0
62.39,28,62862.01,268.84,1
48.56,39,74809.16,221.14,1
67.24,26,79456.28,330.39,1
47.22,38,54782.09,107.75,0
62.59,38,61811.16,211.38,0
60.34,29,60102.74,133.66,1
49.59,35,43941.96,289.42,0
60.51,18,72944.43,225.84,1
73.27,22,63213.51,193.86,1
54.9,40,56896.5,137.14,1
76.81,42,15225.35,224.54,0
82.57,23,79438.43,147.25,0
60.24,34,61191.71,173.71,1
72.8,57,61656.87,154.32,0
75.51,57,37174.31,186.06,0
84.79,29,45982.82,220.38,0
74.51,28,59872.06,154.44,0
47.12,50,40414.95,257.3,0
